'Reference';'Qty';'Value';'DNP';'Exclude from BOM';'Exclude from Board';'Footprint';'Datasheet'
'C1,C2';'2';'18pF';'';'';'';'Capacitors:CAP_0603_Silks';''
'C3,C5,C6,C7,C8,C9,C12,C20';'8';'0.1u';'';'';'';'Capacitors:CAP_0603_Silks';''
'C4,C10,C13,C16,C19';'5';'10u';'';'';'';'Capacitors:CAP_0603_Silks';''
'C11,C14';'2';'1u';'';'';'';'Capacitors:CAP_0603_Silks';''
'C15';'1';'2u2';'';'';'';'Capacitors:CAP_0603_Silks';''
'C17';'1';'10n';'';'';'';'Capacitors:CAP_0603_Silks';''
'C18';'1';'470n';'';'';'';'Capacitors:CAP_0603_Silks';''
'D1';'1';'PMEG2020';'';'';'';'Diodes:SOD323';''
'D2';'1';'L3G4200D';'';'';'';'Package_LGA:LGA-16_4x4mm_P0.65mm_LayoutBorder4x4y';''
'DA1';'1';'MCP1700';'';'';'';'SOT:SOT23-3A';'D:/Datasheets/Power/Linear regulators/MC7800-D 30V 1A out5V.pdf'
'DA2';'1';'TP4056';'';'';'';'SO_DIL_TSSOP:SO8_150MIL';''
'F1';'1';'Fuse0R';'DNP';'Исключен из перечня элементов';'';'Resistors:RES_0603_FUSE';''
'H1,H2,H3,H4';'4';'MountingHole';'DNP';'Исключен из перечня элементов';'';'MountingHole:MountingHole_2.2mm_M2';'~'
'Q1,Q3';'2';'YJL2305A';'';'';'';'SOT:SOT23-3';''
'Q2';'1';'LED_5050';'';'';'';'LEDs:LED_5050';''
'R1,R6,R13';'3';'10k';'';'';'';'Resistors:RES_0603_Silks';''
'R2,R3,R4,R5';'4';'1k';'';'';'';'Resistors:RES_0603_Silks';''
'R7,R8';'2';'4k7';'';'';'';'Resistors:RES_0603_Silks';''
'R9';'1';'2R0';'';'';'';'Resistors:RES_0603_Silks';''
'R10';'1';'0R2';'';'';'';'Resistors:RES_1206';''
'R11,R12';'2';'5k1';'';'';'';'Resistors:RES_0603_Silks';''
'R14';'1';'1.2k';'';'';'';'Resistors:RES_0603_Silks';''
'R15';'1';'56k';'';'';'';'Resistors:RES_0603_Silks';''
'R16,R17';'2';'100k';'';'';'';'Resistors:RES_0603_Silks';''
'U1';'1';'STM32F103C8Tx';'';'';'';'Package_QFP:LQFP-48_7x7mm_P0.5mm';'https://www.st.com/resource/en/datasheet/stm32f103c8.pdf'
'XL1';'1';'SOCKET_7';'DNP';'Исключен из перечня элементов';'';'Connectors:PLS-7_LOCK';''
'XL2';'1';'CONN_1';'';'';'';'PCB:Round_1MM5';''
'XL3';'1';'CONN_1';'';'';'';'PCB:Square_1MM5';''
'XL4';'1';'DS1144-18-16FS8BNR0';'';'';'';'Connectors:USBC_DS1144-18';''
'XL5';'1';'CONN_MICROSD';'';'';'';'Installation:MICROSD_EJECTOR_TFWF1';''
'XTAL1';'1';'8MHz';'';'';'';'Quartz:03225C4';''
